DateKey,Date,Day,WeekNum,Month,MonthShort,MonthNum,Quarter,Year
20210913,13/9/2021,Monday,38,September,Sep,9,3,2021
20210914,14/9/2021,Tuesday,38,September,Sep,9,3,2021
20210915,15/9/2021,Wednesday,38,September,Sep,9,3,2021
20210916,16/9/2021,Thursday,38,September,Sep,9,3,2021
20210917,17/9/2021,Friday,38,September,Sep,9,3,2021
20210918,18/9/2021,Saturday,38,September,Sep,9,3,2021
20210919,19/9/2021,Sunday,39,September,Sep,9,3,2021
20210920,20/9/2021,Monday,39,September,Sep,9,3,2021
20210921,21/9/2021,Tuesday,39,September,Sep,9,3,2021
20210922,22/9/2021,Wednesday,39,September,Sep,9,3,2021
20210923,23/9/2021,Thursday,39,September,Sep,9,3,2021
20210924,24/9/2021,Friday,39,September,Sep,9,3,2021
20210925,25/9/2021,Saturday,39,September,Sep,9,3,2021
20210926,26/9/2021,Sunday,40,September,Sep,9,3,2021
20210927,27/9/2021,Monday,40,September,Sep,9,3,2021
20210928,28/9/2021,Tuesday,40,September,Sep,9,3,2021
20210929,29/9/2021,Wednesday,40,September,Sep,9,3,2021
20210930,30/9/2021,Thursday,40,September,Sep,9,3,2021
20211001,1/10/2021,Friday,40,October,Oct,10,4,2021
20211002,2/10/2021,Saturday,40,October,Oct,10,4,2021
20211003,3/10/2021,Sunday,41,October,Oct,10,4,2021
20211004,4/10/2021,Monday,41,October,Oct,10,4,2021
20211005,5/10/2021,Tuesday,41,October,Oct,10,4,2021
20211006,6/10/2021,Wednesday,41,October,Oct,10,4,2021
20211007,7/10/2021,Thursday,41,October,Oct,10,4,2021
20211008,8/10/2021,Friday,41,October,Oct,10,4,2021
20211009,9/10/2021,Saturday,41,October,Oct,10,4,2021
20211010,10/10/2021,Sunday,42,October,Oct,10,4,2021
20211011,11/10/2021,Monday,42,October,Oct,10,4,2021
20211012,12/10/2021,Tuesday,42,October,Oct,10,4,2021
20211013,13/10/2021,Wednesday,42,October,Oct,10,4,2021
20211014,14/10/2021,Thursday,42,October,Oct,10,4,2021
20211015,15/10/2021,Friday,42,October,Oct,10,4,2021
20211016,16/10/2021,Saturday,42,October,Oct,10,4,2021
20211017,17/10/2021,Sunday,43,October,Oct,10,4,2021
20211018,18/10/2021,Monday,43,October,Oct,10,4,2021
20211019,19/10/2021,Tuesday,43,October,Oct,10,4,2021
20211020,20/10/2021,Wednesday,43,October,Oct,10,4,2021
20211021,21/10/2021,Thursday,43,October,Oct,10,4,2021
